Session: indicating the number of the experiment,,,,,,,,,,,,
Emotion: indicating the emotion of the viewed stimulus material  0: Fear 1: Sad 2: Neutral 3:Happy 4: Pride,,,,,,,,,,,,
Score: indicating the self-rating records for the stimulus material (The rating scale ranges from 0 to 9),,,,,,,,,,,,
,,,,,,,,,,,,
Subject,Age,Gender,Handedness,Date,Session,Trial,Emotion,Score,,,,
101,21,male,right,5-13-2023,1,1,1,8,,,,
101,21,male,right,5-13-2023,1,2,0,9,,,,
101,21,male,right,5-13-2023,1,3,4,8,,,,
101,21,male,right,5-13-2023,1,4,2,5,,,, 
101,21,male,right,5-13-2023,1,5,3,8,,,,
101,21,male,right,5-13-2023,1,6,0,9,,,,
101,21,male,right,5-13-2023,1,7,3,6,,,,
101,21,male,right,5-13-2023,1,8,4,7,,,,
101,21,male,right,5-13-2023,1,9,1,6,,,,
101,21,male,right,5-13-2023,1,10,2,9,,,,
101,21,male,right,5-13-2023,1,11,0,7,,,,
101,21,male,right,5-13-2023,1,12,1,8,,,,
101,21,male,right,5-13-2023,1,13,4,5,,,,
101,21,male,right,5-13-2023,1,14,2,9,,,,
101,21,male,right,5-13-2023,1,15,3,6,,,,
101,21,male,right,5-20-2023,2,1,4,7,,,,
101,21,male,right,5-20-2023,2,2,1,8,,,,
101,21,male,right,5-20-2023,2,3,2,8,,,,
101,21,male,right,5-20-2023,2,4,3,8,,,,
101,21,male,right,5-20-2023,2,5,0,7,,,,
101,21,male,right,5-20-2023,2,6,3,6,,,,
101,21,male,right,5-20-2023,2,7,2,9,,,,
101,21,male,right,5-20-2023,2,8,4,8,,,,
101,21,male,right,5-20-2023,2,9,1,7,,,,
101,21,male,right,5-20-2023,2,10,0,6,,,,
101,21,male,right,5-20-2023,2,11,2,9,,,,
101,21,male,right,5-20-2023,2,12,1,6,,,,
101,21,male,right,5-20-2023,2,13,4,6,,,,
101,21,male,right,5-20-2023,2,14,3,8,,,,
101,21,male,right,5-20-2023,2,15,0,9,,,,
101,21,male,right,5-31-2023,3,1,3,8,,,,
101,21,male,right,5-31-2023,3,2,4,6,,,,
101,21,male,right,5-31-2023,3,3,1,7,,,,
101,21,male,right,5-31-2023,3,4,2,9,,,,
101,21,male,right,5-31-2023,3,5,0,6,,,,
101,21,male,right,5-31-2023,3,6,1,6,,,,
101,21,male,right,5-31-2023,3,7,4,7,,,,
101,21,male,right,5-31-2023,3,8,2,8,,,,
101,21,male,right,5-31-2023,3,9,1,7,,,,
101,21,male,right,5-31-2023,3,10,0,7,,,,
101,21,male,right,5-31-2023,3,11,4,5,,,,
101,21,male,right,5-31-2023,3,12,2,8,,,,
101,21,male,right,5-31-2023,3,13,3,7,,,,
101,21,male,right,5-31-2023,3,14,0,6,,,,
101,21,male,right,5-31-2023,3,15,3,7,,,,
102,21,male,right,5-10-2023,1,1,1,6,,,,
102,21,male,right,5-10-2023,1,2,0,8,,,,
102,21,male,right,5-10-2023,1,3,4,6,,,,
102,21,male,right,5-10-2023,1,4,2,3,,,,
102,21,male,right,5-10-2023,1,5,3,7,,,,
102,21,male,right,5-10-2023,1,6,0,9,,,,
102,21,male,right,5-10-2023,1,7,3,5,,,,
102,21,male,right,5-10-2023,1,8,4,7,,,,
102,21,male,right,5-10-2023,1,9,1,6,,,,
102,21,male,right,5-10-2023,1,10,2,9,,,,
102,21,male,right,5-10-2023,1,11,0,7,,,,
102,21,male,right,5-10-2023,1,12,1,8,,,,
102,21,male,right,5-10-2023,1,13,4,2,,,,
102,21,male,right,5-10-2023,1,14,2,9,,,,
102,21,male,right,5-10-2023,1,15,3,6,,,,
102,21,male,right,5-17-2023,2,1,4,6,,,,
102,21,male,right,5-17-2023,2,2,1,6,,,,
102,21,male,right,5-17-2023,2,3,2,9,,,,
102,21,male,right,5-17-2023,2,4,3,5,,,,
102,21,male,right,5-17-2023,2,5,0,8,,,,
102,21,male,right,5-17-2023,2,6,3,4,,,,
102,21,male,right,5-17-2023,2,7,2,7,,,,
102,21,male,right,5-17-2023,2,8,4,8,,,,
102,21,male,right,5-17-2023,2,9,1,3,,,,
102,21,male,right,5-17-2023,2,10,0,6,,,,
102,21,male,right,5-17-2023,2,11,2,9,,,,
102,21,male,right,5-17-2023,2,12,1,3,,,,
102,21,male,right,5-17-2023,2,13,4,2,,,,
102,21,male,right,5-17-2023,2,14,3,5,,,,
102,21,male,right,5-17-2023,2,15,0,4,,,,
102,21,male,right,5-29-2023,3,1,3,7,,,,
102,21,male,right,5-29-2023,3,2,4,8,,,,
102,21,male,right,5-29-2023,3,3,1,6,,,,
102,21,male,right,5-29-2023,3,4,2,9,,,,
102,21,male,right,5-29-2023,3,5,0,7,,,,
102,21,male,right,5-29-2023,3,6,1,2,,,,
102,21,male,right,5-29-2023,3,7,4,5,,,,
102,21,male,right,5-29-2023,3,8,2,9,,,,
102,21,male,right,5-29-2023,3,9,1,6,,,,
102,21,male,right,5-29-2023,3,10,0,6,,,,
102,21,male,right,5-29-2023,3,11,4,5,,,,
