id,emo,name,onTime,endTime
1,Happy,1_22,1683982069.75,1683982129.75
2,Neutral,10,1683982203.5379999,1683982263.5379999
3,rest,rest,1683982322.026,1683982502.026
4,Sad,1_13,1683982523.8999999,1683982764.2749999
5,Fear,1_15,1683982828.679,1683983125.074
6,Proud,proud_09,1683983190.267,1683983385.652
7,Neutral,1,1683983483.251,1683983708.6529999
8,Happy,4,1683983780.9559999,1683983957.3249998
9,Fear,3_30,1683984035.668,1683984217.027
10,Happy,1,1683984350.04,1683984636.4499998
11,Proud,proud_14,1683984714.882,1683984908.273
12,Sad,3,1683984999.49,1683985152.902
13,Neutral,2,1683985217.097,1683985385.5019999
14,Fear,1_11,1683985449.218,1683985517.5779998
15,Sad,8,1683985581.3869998,1683985903.702
16,Proud,proud_35,1683985981.8479998,1683986218.161
17,Neutral,3,1683986285.06,1683986442.4699998
18,Happy,1_3,1683986506.2359998,1683986744.5909998
