id,emo,name,onTime,endTime
1,Happy,1_22,1684292128.573,1684292129.337
2,Neutral,10,1684292134.179,1684292135.177
3,rest,rest,1684292148.694,1684292328.694
4,Proud,proud_32,1684292352.319,1684292544.89
5,Sad,7,1684292608.749,1684292776.976
6,Neutral,4,1684292841.504,1684293003.901
7,Happy,1_20,1684293068.504,1684293221.909
8,Fear,3_31,1684293291.199,1684293488.554
9,Happy,3,1684293558.606,1684293806.997
10,Neutral,5,1684293893.149,1684294041.547
11,Proud,proud_37,1684294113.509,1684294375.712
12,Sad,5,1684294446.734,1684294612.137
13,Fear,2_1,1684294683.994,1684294852.298
14,Neutral,6,1684294917.083,1684295091.489
15,Sad,3_4,1684295155.077,1684295385.46
16,Proud,proud_34,1684295461.474,1684295695.769
17,Happy,2,1684295768.556,1684295935.954
18,Fear,2_8,1684295999.876,1684296208.222
