id,emo,name,onTime,endTime
1,Happy,1_22,1685587959.634,1685587960.767
2,Neutral,10,1685587967.726,1685587969.1990001
3,rest,rest,1685587982.408,1685588162.408
4,Happy,3_5,1685588183.431,1685588406.844
5,Proud,proud_31,1685588485.207,1685588726.729
6,Sad,4,1685588791.454,1685588971.8470001
7,Neutral,7,1685589089.01,1685589217.404
8,Fear,3_32,1685589281.19,1685589468.554
9,Sad,2_22,1685589557.49,1685589747.863
10,Proud,proud_33,1685589811.584,1685590009.157
11,Neutral,8,1685590073.786,1685590284.171
12,Sad,1_14,1685590348.2680001,1685590589.623
13,Fear,3_21,1685590659.47,1685590832.853
14,Proud,proud_36,1685590913.314,1685591149.426
15,Neutral,9,1685591750.756,1685591945.152
16,Happy,3_7,1685592086.818,1685592274.22
17,Fear,3_13,1685592338.309,1685592570.724
18,Happy,5,1685592647.293,1685592859.685
