id,emo,name,onTime,endTime
1,Happy,1_22,1685522139.196,1685522139.512
2,Neutral,10,1685522143.017,1685522143.496
3,rest,rest,1685522159.667,1685522339.667
4,Happy,3_5,1685522360.173,1685522583.568
5,Proud,proud_31,1685522681.285,1685522922.789
6,Sad,4,1685522986.732,1685523167.1230001
7,Neutral,7,1685523231.917,1685523360.3200002
8,Fear,3_32,1685523423.897,1685523611.269
9,Sad,2_22,1685523687.835,1685523878.207
10,Proud,proud_33,1685523943.0960002,1685524140.647
11,Neutral,8,1685524212.022,1685524422.421
12,Sad,1_14,1685524490.7580001,1685524732.1200001
13,Fear,3_21,1685524816.809,1685524990.183
14,Proud,proud_36,1685525090.94,1685525327.046
15,Neutral,9,1685525398.289,1685525592.688
16,Happy,3_7,1685525660.808,1685525848.2050002
17,Fear,3_13,1685525933.605,1685526165.999
18,Happy,5,1685526229.9250002,1685526442.315
