id,emo,name,onTime,endTime
1,Happy,1_22,1684550947.622,1684550948.278
2,Neutral,10,1684550952.944,1684550953.719
3,rest,rest,1684550973.782,1684551153.782
4,Proud,proud_32,1684551176.374,1684551368.944
5,Sad,7,1684551434.9390001,1684551603.177
6,Neutral,4,1684551667.177,1684551829.581
7,Happy,1_20,1684551901.201,1684552054.607
8,Fear,3_31,1684552118.5410001,1684552315.911
9,Happy,3,1684552379.792,1684552628.192
10,Neutral,5,1684552701.172,1684552849.5740001
11,Proud,proud_37,1684552913.423,1684553175.6330001
12,Sad,5,1684553239.675,1684553405.081
13,Fear,2_1,1684553469.194,1684553637.498
14,Neutral,6,1684553712.527,1684553886.95
15,Sad,3_4,1684553951.238,1684554181.629
16,Proud,proud_34,1684554252.798,1684554487.098
17,Happy,2,1684554567.454,1684554734.857
18,Fear,3_50,1684554799.609,1684554959.425
