id,emo,name,onTime,endTime
1,Happy,1_22,1685624574.5979998,1685624575.457
2,Neutral,10,1685624582.039,1685624585.07
3,rest,rest,1685624601.4759998,1685624781.4759998
4,Happy,3_5,1685624803.133,1685625026.531
5,Proud,proud_31,1685625112.75,1685625354.26
6,Sad,4,1685625432.2949998,1685625612.6929998
7,Neutral,7,1685625698.985,1685625827.37
8,Fear,3_32,1685625926.5519998,1685626113.9129999
9,Sad,2_22,1685626223.106,1685626413.478
10,Proud,proud_33,1685626494.768,1685626692.332
11,Neutral,8,1685626764.044,1685626974.429
12,Sad,1_14,1685627061.816,1685627303.175
13,Fear,3_21,1685627366.9959998,1685627540.3669999
14,Proud,proud_36,1685627616.685,1685627852.79
15,Neutral,9,1685627917.36,1685628111.754
16,Happy,3_7,1685628180.764,1685628368.165
17,Fear,3_13,1685628437.444,1685628669.849
18,Happy,5,1685628735.2159998,1685628947.6169999
