id,emo,name,onTime,endTime
1,Happy,1_22,1684159602.2180002,1684159662.2180002
2,Neutral,10,1684159738.0400002,1684159798.0400002
3,rest,rest,1684159854.3930001,1684160034.3930001
4,Sad,1_13,1684160062.523,1684160302.894
5,Fear,1_15,1684160382.918,1684160679.3140001
6,Proud,proud_09,1684160744.839,1684160940.227
7,Neutral,1,1684161011.1290002,1684161236.515
8,Happy,4,1684161317.91,1684161494.2900002
9,Fear,3_30,1684161567.783,1684161749.1430001
10,Happy,1,1684161820.1920002,1684162106.594
11,Proud,proud_14,1684162171.786,1684162365.177
12,Sad,3,1684162429.1160002,1684162582.5180001
13,Neutral,2,1684162647.957,1684162816.362
14,Fear,1_11,1684162889.839,1684162958.2250001
15,Sad,8,1684163021.874,1684163344.1890001
16,Proud,proud_35,1684163408.1200001,1684163644.43
17,Neutral,3,1684163708.2280002,1684163865.63
18,Happy,1_3,1684163933.125,1684164171.473
