id,emo,name,onTime,endTime
1,Happy,1_22,1685242411.789,1685242412.385
2,Neutral,10,1685242416.377,1685242416.993
3,rest,rest,1685242425.637,1685242605.637
4,Happy,3_5,1685242626.41,1685242849.821
5,Proud,proud_31,1685242914.021,1685243155.522
6,Sad,4,1685243222.371,1685243402.773
7,Neutral,7,1685243466.888,1685243595.287
8,Fear,3_32,1685243659.136,1685243846.5
9,Sad,2_22,1685243909.392,1685244099.763
10,Proud,proud_33,1685244163.253,1685244360.813
11,Neutral,8,1685244424.604,1685244635.006
12,Sad,1_14,1685244699.319,1685244940.68
13,Fear,3_21,1685245005.05,1685245178.418
14,Proud,proud_36,1685245249.8009999,1685245485.902
15,Neutral,9,1685245549.642,1685245744.027
16,Happy,3_7,1685245807.84,1685245995.248
17,Fear,3_13,1685246062.952,1685246295.345
18,Happy,5,1685246358.2879999,1685246570.692
