id,emo,name,onTime,endTime
1,Happy,1_22,1684062795.977,1684062855.977
2,Neutral,10,1684062920.9550002,1684062980.9550002
3,rest,rest,1684063021.141,1684063201.141
4,Sad,1_13,1684063222.114,1684063462.482
5,Fear,1_15,1684063527.2610002,1684063823.663
6,Proud,proud_09,1684063903.3470001,1684064098.7250001
7,Neutral,1,1684064167.5010002,1684064392.8990002
8,Happy,4,1684064457.4320002,1684064633.8100002
9,Fear,3_30,1684064697.8790002,1684064879.243
10,Happy,1,1684064951.306,1684065237.704
11,Proud,proud_14,1684065301.582,1684065494.966
12,Sad,3,1684065559.78,1684065713.186
13,Neutral,2,1684065777.487,1684065945.885
14,Fear,1_11,1684066009.976,1684066078.355
15,Sad,8,1684066144.9810002,1684066467.285
16,Proud,proud_35,1684066531.7940001,1684066768.0930002
17,Neutral,3,1684066832.1690001,1684066989.5670002
18,Happy,1_3,1684067053.914,1684067292.2680001
