id,emo,name,onTime,endTime
1,Happy,1_22,1686042164.506,1686042166.934
2,Neutral,10,1686042183.375,1686042183.91
3,rest,rest,1686042188.581,1686042368.581
4,Proud,proud_32,1686042390.0210001,1686042582.578
5,Sad,7,1686042647.9850001,1686042816.217
6,Neutral,4,1686042881.7910001,1686043044.185
7,Happy,1_20,1686043112.612,1686043266.005
8,Fear,3_31,1686043329.601,1686043526.9650002
9,Happy,3,1686043592.003,1686043840.3960001
10,Neutral,5,1686043903.856,1686044052.2480001
11,Proud,proud_37,1686044118.56,1686044380.76
12,Sad,5,1686044444.5770001,1686044609.9720001
13,Fear,2_1,1686044673.6950002,1686044842.0010002
14,Neutral,6,1686044905.9,1686045080.309
15,Sad,3_4,1686045143.326,1686045373.7020001
16,Proud,proud_34,1686045437.277,1686045671.563
17,Happy,2,1686045737.651,1686045905.045
18,Fear,3_50,1686045968.888,1686046128.698
