id,emo,name,onTime,endTime
1,Happy,1_22,1685256230.2280002,1685256230.548
2,Neutral,10,1685256233.882,1685256234.453
3,rest,rest,1685256246.8790002,1685256426.8790002
4,Happy,3_5,1685256447.0340002,1685256670.431
5,Proud,proud_31,1685256733.9120002,1685256975.427
6,Sad,4,1685257054.44,1685257234.838
7,Neutral,7,1685257298.2740002,1685257426.661
8,Fear,3_32,1685257538.5700002,1685257725.937
9,Sad,2_22,1685257802.474,1685257992.838
10,Proud,proud_33,1685258062.5080001,1685258260.066
11,Neutral,8,1685258491.431,1685258701.8300002
12,Sad,1_14,1685258775.122,1685259016.474
13,Fear,3_21,1685259082.3040001,1685259255.6690001
14,Proud,proud_36,1685259341.7870002,1685259577.891
15,Neutral,9,1685259653.64,1685259848.0370002
16,Happy,3_7,1685259915.759,1685260103.1660001
17,Fear,3_13,1685260172.2380002,1685260404.641
18,Happy,5,1685260474.332,1685260686.726
