id,emo,name,onTime,endTime
1,Happy,1_22,1685952576.5579998,1685952576.87
2,Neutral,10,1685952582.1139998,1685952582.5349998
3,rest,rest,1685952587.2689998,1685952767.2689998
4,Proud,proud_32,1685952790.8449998,1685952983.416
5,Sad,7,1685953050.428,1685953218.6639998
6,Neutral,4,1685953287.421,1685953449.8109999
7,Happy,1_20,1685953529.87,1685953683.27
8,Fear,3_31,1685953748.5779998,1685953945.951
9,Happy,3,1685954018.0549998,1685954266.462
10,Neutral,5,1685954331.6769998,1685954480.0709999
11,Proud,proud_37,1685954584.6539998,1685954846.8609998
12,Sad,5,1685954924.87,1685955090.271
13,Fear,2_1,1685955196.5649998,1685955364.8639998
14,Neutral,6,1685955449.2749999,1685955623.6799998
15,Sad,3_4,1685955688.704,1685955919.0949998
16,Proud,proud_34,1685955984.7749999,1685956219.0609999
17,Happy,2,1685956301.383,1685956468.78
18,Fear,3_50,1685956535.941,1685956695.76
