id,emo,name,onTime,endTime
1,Happy,1_22,1685349939.4160001,1685349940.8920002
2,Neutral,10,1685349944.137,1685349944.6160002
3,rest,rest,1685349953.0800002,1685350133.0800002
4,Happy,3_5,1685350161.51,1685350384.913
5,Proud,proud_31,1685350448.421,1685350689.924
6,Sad,4,1685350753.851,1685350934.243
7,Neutral,7,1685350998.2350001,1685351126.628
8,Fear,3_32,1685351194.5700002,1685351381.93
9,Sad,2_22,1685351455.654,1685351646.023
10,Proud,proud_33,1685351724.5630002,1685351922.124
11,Neutral,8,1685351994.14,1685352204.532
12,Sad,1_14,1685352268.288,1685352509.645
13,Fear,3_21,1685352573.417,1685352746.788
14,Proud,proud_36,1685352810.1100001,1685353046.214
15,Neutral,9,1685353109.818,1685353304.2020001
16,Happy,3_7,1685353367.765,1685353555.173
17,Fear,3_13,1685353622.8600001,1685353855.2610002
18,Happy,5,1685353927.256,1685354139.6520002
