id,emo,name,onTime,endTime
1,Happy,1_22,1684151017.912,1684151077.912
2,Neutral,10,1684151150.347,1684151210.347
3,rest,rest,1684151273.6399999,1684151453.6399999
4,Sad,1_13,1684151473.612,1684151713.9789999
5,Fear,1_15,1684151795.6759999,1684152092.072
6,Proud,proud_09,1684152163.253,1684152358.6399999
7,Neutral,1,1684152426.256,1684152651.645
8,Happy,4,1684152861.602,1684153037.972
9,Fear,3_30,1684153103.734,1684153285.093
10,Happy,1,1684153399.988,1684153686.389
11,Proud,proud_14,1684153854.037,1684154047.438
12,Sad,3,1684155697.1599998,1684155850.569
13,Neutral,2,1684155930.516,1684156098.912
14,Fear,1_11,1684156164.606,1684156232.986
15,Happy,1_22,1684156912.4139998,1684156913.1669998
16,Neutral,10,1684156918.6699998,1684156919.215
17,rest,rest,1684156921.34,1684156921.807
18,Sad,1_13,1684156925.6439998,1684156926.2069998
19,Fear,1_15,1684156931.4339998,1684156931.7429998
20,Proud,proud_09,1684156936.222,1684156936.543
21,Neutral,1,1684156940.293,1684156941.185
22,Happy,4,1684156944.4299998,1684156944.4469998
23,Fear,3_30,1684156948.034,1684156948.4629998
24,Happy,1,1684156952.455,1684156952.8309999
25,Proud,proud_14,1684156956.3089998,1684156956.655
26,Sad,3,1684156961.1469998,1684156961.695
27,Neutral,2,1684156966.119,1684156966.7189999
28,Fear,1_11,1684156970.8739998,1684156971.2319999
29,Sad,8,1684156993.531,1684157315.843
30,Proud,proud_35,1684157381.9959998,1684157618.303
31,Neutral,3,1684157683.455,1684157840.8579998
32,Happy,1_3,1684157909.119,1684158147.4789999
