id,emo,name,onTime,endTime
1,Happy,1_22,1684327520.7779999,1684327522.442
2,Neutral,10,1684327528.586,1684327539.099
3,rest,rest,1684327559.919,1684327739.919
4,Proud,proud_32,1684327760.141,1684327952.707
5,Sad,7,1684328016.236,1684328184.477
6,Neutral,4,1684328248.658,1684328411.052
7,Happy,1_20,1684328474.623,1684328628.031
8,Fear,3_31,1684328691.462,1684328888.829
9,Happy,3,1684328952.8799999,1684329201.2719998
10,Neutral,5,1684329265.901,1684329414.304
11,Proud,proud_37,1684329478.102,1684329740.303
12,Sad,5,1684329804.954,1684329970.356
13,Fear,2_1,1684330033.822,1684330202.131
14,Neutral,6,1684330265.6599998,1684330440.072
15,Sad,3_4,1684330502.9029999,1684330733.291
16,Proud,proud_34,1684330797.171,1684331031.4659998
17,Happy,2,1684331095.227,1684331262.623
18,Fear,2_8,1684331325.713,1684331534.056
