id,emo,name,onTime,endTime
1,Happy,1_22,1685323036.662,1685323037.115
2,Neutral,10,1685323040.582,1685323041.0509999
3,rest,rest,1685323057.5,1685323237.5
4,Happy,3_5,1685323257.355,1685323480.7619998
5,Proud,proud_31,1685323550.289,1685323791.794
6,Sad,4,1685323864.461,1685324044.869
7,Neutral,7,1685324108.611,1685324236.995
8,Fear,3_32,1685324304.779,1685324492.1399999
9,Sad,2_22,1685324556.454,1685324746.816
10,Proud,proud_33,1685324812.8669999,1685325010.44
11,Neutral,8,1685325073.451,1685325283.8439999
12,Sad,1_14,1685325347.349,1685325588.703
13,Fear,3_21,1685325693.3869998,1685325866.761
14,Proud,proud_36,1685325929.546,1685326165.645
15,Neutral,9,1685326241.116,1685326435.503
16,Happy,3_7,1685326525.007,1685326712.399
17,Fear,3_13,1685326775.23,1685327007.634
18,Happy,5,1685327071.8339999,1685327284.233
