id,emo,name,onTime,endTime
1,Happy,1_22,1683773383.906,1683773443.906
2,Neutral,10,1683773549.2589998,1683773609.2589998
3,rest,rest,1683773671.235,1683773851.235
4,Sad,1_13,1683773874.6439998,1683774115.011
5,Fear,1_15,1683774184.1109998,1683774480.516
6,Proud,proud_09,1683774553.1569998,1683774748.536
7,Neutral,1,1683774815.4259999,1683775040.817
8,Happy,4,1683775106.825,1683775283.2089999
9,Fear,3_30,1683775353.1439998,1683775534.516
10,Happy,1,1683775604.085,1683775890.496
11,Proud,proud_14,1683775957.648,1683776151.046
12,Sad,3,1683776215.496,1683776368.898
13,Neutral,2,1683776435.722,1683776604.1269999
14,Fear,1_11,1683776667.727,1683776736.103
15,Sad,8,1683776806.6859999,1683777128.9989998
16,Proud,proud_35,1683777194.468,1683777430.7719998
17,Neutral,3,1683777500.665,1683777658.072
18,Happy,1_3,1683777722.243,1683777960.595
