id,emo,name,onTime,endTime
1,Happy,1_22,1684322053.823,1684322059.625
2,Neutral,10,1684322065.001,1684322069.017
3,rest,rest,1684322106.7779999,1684322286.7779999
4,Proud,proud_32,1684322309.085,1684322501.643
5,Sad,7,1684322569.769,1684322738.008
6,Neutral,4,1684322805.578,1684322967.971
7,Happy,1_20,1684323036.598,1684323189.993
8,Fear,3_31,1684323260.11,1684323457.466
9,Happy,3,1684323533.407,1684323781.812
10,Neutral,5,1684323870.086,1684324018.476
11,Proud,proud_37,1684324095.0,1684324357.2
12,Sad,5,1684324440.688,1684324606.089
13,Fear,2_1,1684324682.953,1684324851.259
14,Neutral,6,1684324918.728,1684325093.138
15,Sad,3_4,1684325165.297,1684325395.6859999
16,Proud,proud_34,1684325462.619,1684325696.904
17,Happy,2,1684325776.324,1684325943.715
18,Fear,2_8,1684326009.9129999,1684326218.246
