id,emo,name,onTime,endTime
1,Happy,1_22,1684149893.662,1684149896.842
2,Neutral,10,1684149903.4720001,1684149907.3860002
3,rest,rest,1684149913.8500001,1684149916.362
4,Proud,proud_32,1684149922.709,1684149925.2580001
5,Sad,7,1684149933.403,1684149936.97
6,Neutral,4,1684149944.164,1684149946.378
7,Happy,1_20,1684149952.606,1684149955.7220001
8,Fear,3_31,1684149962.333,1684149964.25
9,Happy,1_22,1684286480.812,1684286481.528
10,Neutral,10,1684286495.127,1684286496.9520001
11,rest,rest,1684286524.9410002,1684286704.9410002
12,Proud,proud_32,1684286726.114,1684286918.676
13,Sad,7,1684286984.345,1684287152.581
14,Neutral,4,1684287248.9160001,1684287411.311
15,Happy,1_20,1684287482.756,1684287636.1590002
16,Fear,3_31,1684287705.601,1684287902.966
17,Happy,3,1684287966.6030002,1684288214.9970002
18,Neutral,5,1684288284.078,1684288432.4840002
19,Proud,proud_37,1684288497.931,1684288760.138
20,Sad,5,1684288831.006,1684288996.4180002
21,Fear,2_1,1684289059.9740002,1684289228.285
22,Neutral,6,1684289310.164,1684289484.565
23,Sad,3_4,1684289577.505,1684289807.8860002
24,Proud,proud_34,1684289886.071,1684290120.3700001
25,Happy,2,1684290186.496,1684290353.903
26,Fear,2_8,1684290424.5070002,1684290632.848
