id,emo,name,onTime,endTime
1,Happy,1_22,1685069437.058,1685069438.084
2,Neutral,10,1685069442.1460001,1685069442.8370001
3,rest,rest,1685069456.861,1685069636.861
4,Happy,3_5,1685069658.552,1685069881.9580002
5,Proud,proud_31,1685069946.364,1685070187.875
6,Sad,4,1685070251.443,1685070431.848
7,Neutral,7,1685070497.663,1685070626.058
8,Fear,3_32,1685070689.476,1685070876.839
9,Sad,2_22,1685070942.319,1685071132.6910002
10,Proud,proud_33,1685071196.163,1685071393.733
11,Neutral,8,1685071463.22,1685071673.6130002
12,Sad,1_14,1685071797.263,1685072038.6220002
13,Fear,3_21,1685072102.4090002,1685072275.778
14,Proud,proud_36,1685072339.686,1685072575.7930002
15,Neutral,9,1685072640.528,1685072834.923
16,Happy,3_7,1685072897.709,1685073085.1130002
17,Fear,3_13,1685073148.783,1685073381.174
18,Happy,5,1685073452.612,1685073665.0110002
