id,emo,name,onTime,endTime
1,Happy,1_22,1685156389.155,1685156389.655
2,Neutral,10,1685156393.593,1685156394.135
3,rest,rest,1685156415.3149998,1685156595.3149998
4,Happy,3_5,1685156616.939,1685156840.3419998
5,Proud,proud_31,1685156906.7029998,1685157148.2089999
6,Sad,4,1685157241.33,1685157421.727
7,Neutral,7,1685157489.1669998,1685157617.566
8,Fear,3_32,1685157705.0059998,1685157892.3739998
9,Sad,2_22,1685157963.6209998,1685158110.817
10,Proud,proud_33,1685158211.859,1685158409.428
11,Neutral,8,1685158493.431,1685158703.8219998
12,Sad,1_14,1685158826.557,1685159067.922
13,Fear,3_21,1685159145.1,1685159318.474
14,Proud,proud_36,1685159388.9499998,1685159625.0609999
15,Neutral,9,1685159740.011,1685159934.4109998
16,Happy,3_7,1685160110.057,1685160297.4689999
17,Fear,3_13,1685160373.477,1685160605.8709998
18,Happy,5,1685160720.2329998,1685160932.6399999
