id,emo,name,onTime,endTime
1,Happy,1_22,1685098723.023,1685098724.887
2,Neutral,10,1685098733.451,1685098734.375
3,rest,rest,1685098744.629,1685098924.629
4,Happy,3_5,1685098944.484,1685099167.882
5,Proud,proud_31,1685099233.747,1685099475.267
6,Sad,4,1685099542.164,1685099722.5600002
7,Neutral,7,1685099786.214,1685099914.611
8,Fear,3_32,1685099979.779,1685100167.154
9,Sad,2_22,1685100239.729,1685100430.104
10,Proud,proud_33,1685100496.276,1685100693.839
11,Neutral,8,1685100765.1850002,1685100975.5770001
12,Sad,1_14,1685101039.032,1685101280.381
13,Fear,3_21,1685101346.9980001,1685101520.3700001
14,Proud,proud_36,1685101588.362,1685101824.4680002
15,Neutral,9,1685101888.5540001,1685102082.947
16,Happy,3_7,1685102159.849,1685102347.252
17,Fear,3_13,1685102415.0770001,1685102647.4750001
18,Happy,5,1685102711.0640001,1685102923.463
