id,emo,name,onTime,endTime
1,Happy,1_22,1683630124.3040001,1683630184.3040001
2,Neutral,10,1683630276.044,1683630336.044
3,rest,rest,1683630382.286,1683630562.286
4,Sad,1_13,1683630584.627,1683630825.005
5,Fear,1_15,1683630892.977,1683631189.381
6,Proud,proud_09,1683631262.44,1683631457.821
7,Neutral,1,1683631522.273,1683631747.664
8,Happy,4,1683631811.387,1683631987.757
9,Fear,3_30,1683632053.586,1683632234.9490001
10,Happy,1,1683632298.5870001,1683632584.9850001
11,Proud,proud_14,1683632648.496,1683632841.89
12,Sad,3,1683632914.6200001,1683633068.032
13,Neutral,2,1683633131.909,1683633300.31
14,Fear,1_11,1683633372.757,1683633441.136
15,Sad,8,1683633505.777,1683633828.094
16,Proud,proud_35,1683633893.742,1683634130.052
17,Neutral,3,1683634194.334,1683634351.738
18,Happy,1_3,1683634415.578,1683634653.932
