id,emo,name,onTime,endTime
1,Happy,1_22,1684745876.091,1684745876.617
2,Neutral,10,1684745881.079,1684745883.125
3,rest,rest,1684745895.411,1684746075.411
4,Proud,proud_32,1684746096.8170002,1684746289.379
5,Sad,7,1684746359.72,1684746527.951
6,Neutral,4,1684746595.612,1684746758.003
7,Happy,1_20,1684746823.045,1684746976.4420002
8,Fear,3_31,1684747041.8700001,1684747239.242
9,Happy,3,1684747304.74,1684747553.139
10,Neutral,5,1684747618.311,1684747766.704
11,Proud,proud_37,1684747831.763,1684748093.9620001
12,Sad,5,1684748161.502,1684748326.897
13,Fear,2_1,1684748391.7710001,1684748560.075
14,Neutral,6,1684748625.961,1684748800.364
15,Sad,3_4,1684748867.4090002,1684749097.787
16,Proud,proud_34,1684749167.884,1684749402.178
17,Happy,2,1684749469.527,1684749636.926
18,Fear,3_50,1684749704.484,1684749864.2940001
