id,emo,name,onTime,endTime
1,Happy,1_22,1685176969.609,1685176971.0719998
2,Neutral,10,1685176974.797,1685176975.376
3,rest,rest,1685176993.6829998,1685177173.6829998
4,Happy,3_5,1685177193.8049998,1685177417.217
5,Proud,proud_31,1685177480.149,1685177721.661
6,Sad,4,1685177787.648,1685177968.0449998
7,Neutral,7,1685178031.031,1685178159.425
8,Fear,3_32,1685178244.517,1685178431.8939998
9,Sad,2_22,1685178494.757,1685178685.1309998
10,Proud,proud_33,1685178748.3669999,1685178945.9359999
11,Neutral,8,1685179008.734,1685179219.122
12,Sad,1_14,1685179282.7979999,1685179524.1529999
13,Fear,3_21,1685179587.1109998,1685179760.4799998
14,Proud,proud_36,1685179824.771,1685180060.876
15,Neutral,9,1685180123.8609998,1685180318.2459998
16,Happy,3_7,1685180381.0749998,1685180568.4689999
17,Fear,3_13,1685180631.932,1685180864.3339999
18,Happy,5,1685180927.869,1685181140.2659998
